Station ID,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency,city,activity_status
EVS03685,AC Level 2,0.41,9:00-18:00,11.72,62,Tesla,22,"Tesla, Type 2",2019,Yes,3.7,3,Annually,Moscow,high
EVS03972,AC Level 2,0.46,6:00-22:00,17.65,90,EVgo,350,"Type 2, CCS",2020,Yes,4.6,7,Annually,Moscow,high
EVS04042,AC Level 1,0.37,9:00-18:00,17.66,59,Tesla,150,"CHAdeMO, CCS",2020,No,3.8,7,Monthly,São Paulo,high
EVS04133,AC Level 2,0.31,9:00-18:00,15.56,39,Greenlots,22,"CCS, CHAdeMO",2013,Yes,4.8,9,Annually,Bangkok,low
EVS04365,AC Level 1,0.14,24/7,7.09,57,Greenlots,350,"CHAdeMO, CCS",2015,Yes,5.0,6,Quarterly,San Francisco,high
EVS04852,AC Level 2,0.31,6:00-22:00,11.42,21,Tesla,350,CCS,2011,Yes,3.5,9,Monthly,Chicago,low
EVS00424,AC Level 2,0.28,6:00-22:00,18.96,18,EVgo,22,"Type 2, Tesla",2010,Yes,4.8,6,Annually,Cape Town,low
EVS00515,AC Level 2,0.27,9:00-18:00,18.44,89,Ionity,22,Tesla,2012,No,4.7,8,Monthly,Cape Town,high
EVS00748,AC Level 2,0.15,9:00-18:00,16.05,96,Greenlots,350,"Tesla, CHAdeMO",2012,No,4.8,3,Monthly,Los Angeles,high
EVS00844,AC Level 1,0.32,24/7,2.88,62,Ionity,50,Type 2,2012,Yes,3.9,10,Annually,São Paulo,high
EVS01209,AC Level 1,0.25,6:00-22:00,19.89,52,Greenlots,22,"CHAdeMO, Tesla",2012,No,3.8,9,Quarterly,San Francisco,high
EVS01227,AC Level 2,0.25,24/7,9.38,67,Greenlots,150,"CHAdeMO, Type 2",2017,Yes,3.1,1,Monthly,São Paulo,high
EVS01476,AC Level 1,0.31,6:00-22:00,8.03,56,Greenlots,150,"CCS, Type 2",2015,No,3.9,8,Monthly,Toronto,high
EVS01648,AC Level 2,0.49,24/7,1.61,21,Tesla,350,"CCS, Tesla",2023,Yes,4.5,5,Annually,Moscow,low
EVS01707,AC Level 1,0.4,6:00-22:00,13.84,43,Greenlots,50,"CCS, Tesla",2019,No,3.1,5,Quarterly,Los Angeles,low
EVS01730,AC Level 2,0.21,6:00-22:00,17.85,58,Tesla,150,CCS,2014,Yes,3.3,8,Quarterly,Seoul,high
EVS01819,DC Fast Charger,0.42,9:00-18:00,18.48,80,EVgo,50,"CCS, Tesla",2022,No,4.0,1,Quarterly,Moscow,high
EVS01990,AC Level 2,0.25,24/7,9.83,11,ChargePoint,350,"CCS, Type 2",2018,No,3.3,2,Annually,Cape Town,low
EVS02200,AC Level 1,0.15,24/7,5.08,71,Tesla,50,"CCS, Type 2",2014,Yes,3.1,4,Monthly,Berlin,high
EVS03350,AC Level 1,0.33,9:00-18:00,14.45,61,ChargePoint,150,CCS,2016,No,4.1,7,Annually,Chicago,high
EVS03900,DC Fast Charger,0.34,6:00-22:00,6.49,78,EVgo,22,Tesla,2015,Yes,4.2,5,Annually,Seoul,high
EVS04110,AC Level 1,0.41,24/7,9.89,72,EVgo,350,"Tesla, CHAdeMO",2010,Yes,3.7,3,Monthly,Mumbai,high
EVS04255,DC Fast Charger,0.25,9:00-18:00,5.54,34,ChargePoint,22,"Tesla, Type 2",2013,No,4.4,9,Quarterly,São Paulo,low
EVS04259,DC Fast Charger,0.31,24/7,7.69,50,EVgo,150,CCS,2014,No,4.6,8,Monthly,Toronto,high
EVS04385,DC Fast Charger,0.39,6:00-22:00,2.69,92,EVgo,350,"Tesla, CCS",2015,Yes,3.8,8,Quarterly,Berlin,high
EVS04388,AC Level 2,0.44,6:00-22:00,5.84,18,EVgo,150,CCS,2012,Yes,3.0,9,Quarterly,Beijing,low
EVS04623,AC Level 2,0.14,24/7,8.03,64,Tesla,150,"Type 2, CCS",2023,Yes,3.5,5,Quarterly,Mexico City,high
EVS04695,AC Level 2,0.27,24/7,11.96,44,Greenlots,350,CCS,2016,Yes,3.9,6,Quarterly,Los Angeles,low
EVS04783,DC Fast Charger,0.5,9:00-18:00,7.92,85,ChargePoint,22,Type 2,2012,No,4.9,9,Monthly,Moscow,high
EVS00354,AC Level 1,0.19,6:00-22:00,14.13,68,EVgo,350,CCS,2015,No,4.9,8,Monthly,Bangkok,high
EVS00427,AC Level 1,0.27,24/7,10.21,55,Ionity,150,Tesla,2022,Yes,4.0,4,Annually,Los Angeles,high
EVS00572,DC Fast Charger,0.32,6:00-22:00,12.84,100,Tesla,350,"Tesla, Type 2",2011,Yes,3.6,1,Quarterly,São Paulo,high
EVS00787,DC Fast Charger,0.44,6:00-22:00,12.93,46,ChargePoint,150,"CHAdeMO, Tesla",2023,No,4.6,8,Monthly,Beijing,low
EVS01106,AC Level 2,0.45,6:00-22:00,14.71,75,Greenlots,150,Type 2,2023,Yes,4.6,8,Annually,Los Angeles,high
EVS01302,AC Level 2,0.46,6:00-22:00,2.74,15,EVgo,350,CHAdeMO,2023,Yes,4.2,5,Monthly,Berlin,low
EVS01370,DC Fast Charger,0.43,6:00-22:00,17.36,61,EVgo,350,Tesla,2018,Yes,3.5,4,Quarterly,Los Angeles,high
EVS02310,AC Level 2,0.14,24/7,15.34,16,Ionity,150,"Type 2, CHAdeMO",2013,Yes,4.9,8,Quarterly,Los Angeles,low
EVS02382,AC Level 2,0.37,6:00-22:00,16.97,96,Tesla,150,Type 2,2015,Yes,5.0,3,Monthly,Mumbai,high
EVS02438,DC Fast Charger,0.15,6:00-22:00,1.02,78,Ionity,150,CCS,2015,No,4.3,8,Quarterly,Los Angeles,high
EVS02882,AC Level 2,0.15,9:00-18:00,15.88,94,Ionity,350,"Tesla, CCS",2010,Yes,3.9,5,Annually,San Francisco,high
EVS03179,AC Level 2,0.5,9:00-18:00,5.92,41,EVgo,50,CHAdeMO,2021,Yes,3.5,9,Quarterly,San Francisco,low
EVS03902,DC Fast Charger,0.24,24/7,15.79,33,Greenlots,150,CHAdeMO,2023,No,4.7,2,Quarterly,Seoul,low
EVS04035,DC Fast Charger,0.48,9:00-18:00,3.03,35,Greenlots,350,"CCS, CHAdeMO",2010,Yes,4.8,10,Annually,Los Angeles,low
EVS04195,DC Fast Charger,0.31,24/7,17.96,85,ChargePoint,50,Tesla,2021,No,4.3,7,Annually,Cape Town,high
EVS04212,AC Level 2,0.41,9:00-18:00,8.37,97,EVgo,50,Tesla,2018,No,4.0,10,Quarterly,Cape Town,high
EVS04697,AC Level 1,0.34,24/7,16.37,34,Tesla,150,"CCS, Type 2",2023,No,3.6,10,Monthly,Sydney,low
EVS04843,DC Fast Charger,0.28,6:00-22:00,1.32,85,ChargePoint,350,"Type 2, Tesla",2019,No,4.9,10,Annually,Berlin,high
EVS00292,DC Fast Charger,0.29,6:00-22:00,3.95,28,Greenlots,150,Type 2,2021,Yes,3.9,1,Annually,Los Angeles,low
EVS00298,AC Level 2,0.18,24/7,1.17,34,EVgo,22,"Tesla, Type 2",2014,Yes,3.8,6,Monthly,Beijing,low
EVS00339,DC Fast Charger,0.13,9:00-18:00,7.61,64,Greenlots,150,"CCS, Tesla",2021,No,4.9,2,Monthly,Sydney,high
EVS00776,AC Level 2,0.24,24/7,13.82,19,ChargePoint,150,CHAdeMO,2019,Yes,4.0,8,Quarterly,Mumbai,low
EVS00882,AC Level 2,0.38,9:00-18:00,1.46,61,Tesla,22,Tesla,2017,No,4.0,10,Quarterly,São Paulo,high
EVS00983,AC Level 2,0.45,6:00-22:00,13.65,83,Greenlots,350,"CHAdeMO, Tesla",2023,No,4.3,3,Monthly,Cape Town,high
EVS01525,AC Level 2,0.14,24/7,18.1,15,Greenlots,350,CCS,2016,Yes,4.7,10,Annually,Bangkok,low
EVS02080,AC Level 1,0.17,6:00-22:00,14.33,65,Tesla,22,"CHAdeMO, Type 2",2019,No,4.6,10,Monthly,Toronto,high
EVS02094,AC Level 2,0.19,24/7,12.8,42,EVgo,150,CHAdeMO,2018,No,4.2,3,Monthly,San Francisco,low
EVS02458,AC Level 1,0.13,6:00-22:00,14.53,42,ChargePoint,22,CHAdeMO,2011,Yes,3.6,9,Quarterly,Seoul,low
EVS02844,DC Fast Charger,0.37,6:00-22:00,1.52,45,Greenlots,22,CCS,2020,Yes,4.3,3,Monthly,Seoul,low
EVS03050,AC Level 2,0.4,24/7,2.98,24,Tesla,150,Type 2,2021,Yes,4.6,6,Quarterly,Mexico City,low
EVS03116,AC Level 1,0.43,9:00-18:00,5.28,15,Ionity,50,"CCS, Tesla",2018,No,4.3,7,Monthly,Mumbai,low
EVS03646,DC Fast Charger,0.24,9:00-18:00,14.89,52,Greenlots,150,CHAdeMO,2013,No,3.8,2,Annually,Seoul,high
EVS03755,AC Level 2,0.49,24/7,16.93,88,ChargePoint,50,Type 2,2015,No,5.0,4,Monthly,Mumbai,high
EVS04014,AC Level 2,0.15,6:00-22:00,5.6,33,Tesla,350,CHAdeMO,2012,No,4.4,10,Monthly,Chicago,low
EVS04155,AC Level 1,0.34,24/7,10.43,26,Tesla,50,Type 2,2012,No,4.2,8,Annually,Seoul,low
EVS04452,AC Level 1,0.24,24/7,7.89,98,Ionity,350,"CHAdeMO, CCS",2010,Yes,4.6,3,Monthly,Mexico City,high
EVS04458,DC Fast Charger,0.1,24/7,2.66,57,Greenlots,50,Type 2,2016,Yes,4.6,5,Annually,San Francisco,high
EVS04649,DC Fast Charger,0.16,6:00-22:00,17.69,100,Tesla,150,CCS,2019,Yes,3.4,5,Monthly,Toronto,high
EVS04964,DC Fast Charger,0.29,6:00-22:00,17.94,13,Ionity,50,"CCS, Tesla",2017,No,4.3,2,Monthly,Sydney,low
EVS00096,AC Level 1,0.11,24/7,18.49,85,ChargePoint,50,"Type 2, CHAdeMO",2014,Yes,4.9,2,Monthly,São Paulo,high
EVS00374,DC Fast Charger,0.33,24/7,9.7,59,EVgo,350,"CCS, Type 2",2017,Yes,4.0,2,Quarterly,Bangkok,high
EVS00392,AC Level 2,0.41,6:00-22:00,5.67,69,EVgo,22,Tesla,2023,Yes,4.3,8,Quarterly,Beijing,high
EVS00430,DC Fast Charger,0.44,24/7,19.84,88,EVgo,350,CHAdeMO,2018,No,4.5,5,Monthly,Mumbai,high
EVS00779,AC Level 1,0.32,24/7,10.69,19,ChargePoint,50,"CCS, Type 2",2017,No,3.2,7,Monthly,Cape Town,low
EVS00986,DC Fast Charger,0.37,24/7,1.46,75,ChargePoint,350,Tesla,2018,No,3.9,8,Annually,Moscow,high
EVS01020,DC Fast Charger,0.32,24/7,16.01,85,Ionity,50,CCS,2012,Yes,3.2,1,Quarterly,Cape Town,high
EVS01902,DC Fast Charger,0.19,6:00-22:00,18.47,93,Tesla,22,CCS,2012,No,3.9,5,Quarterly,Cape Town,high
EVS02156,DC Fast Charger,0.42,24/7,9.96,25,ChargePoint,150,"Type 2, Tesla",2010,No,4.8,4,Monthly,Moscow,low
EVS02167,DC Fast Charger,0.11,24/7,5.66,58,EVgo,350,"Type 2, Tesla",2014,Yes,4.1,7,Annually,Beijing,high
EVS02765,DC Fast Charger,0.16,24/7,3.7,18,Greenlots,150,"CCS, Tesla",2011,Yes,3.3,2,Annually,Toronto,low
EVS02959,AC Level 1,0.43,6:00-22:00,16.4,65,Greenlots,350,Type 2,2023,Yes,4.9,2,Monthly,Mumbai,high
EVS03293,DC Fast Charger,0.4,6:00-22:00,13.09,93,EVgo,22,"Type 2, CCS",2015,No,3.4,3,Annually,Moscow,high
EVS03348,AC Level 1,0.42,9:00-18:00,4.71,15,EVgo,350,"Tesla, CHAdeMO",2018,No,4.5,8,Annually,Berlin,low
EVS03573,DC Fast Charger,0.38,9:00-18:00,9.76,48,Ionity,50,Type 2,2017,Yes,3.5,1,Annually,Sydney,low
EVS03647,DC Fast Charger,0.13,6:00-22:00,10.43,89,EVgo,22,CHAdeMO,2021,No,4.1,4,Annually,Cape Town,high
EVS04077,AC Level 1,0.32,9:00-18:00,9.57,64,ChargePoint,22,CCS,2020,No,4.0,2,Annually,Bangkok,high
EVS04238,AC Level 2,0.33,6:00-22:00,2.86,35,EVgo,350,"Tesla, CHAdeMO",2022,Yes,5.0,8,Quarterly,Seoul,low
EVS04515,AC Level 2,0.27,6:00-22:00,9.86,65,ChargePoint,50,"Type 2, CCS",2017,Yes,4.1,8,Annually,Cape Town,high
EVS04747,AC Level 2,0.26,9:00-18:00,2.14,27,Tesla,22,CHAdeMO,2016,Yes,3.1,9,Monthly,Sydney,low
EVS04836,DC Fast Charger,0.45,6:00-22:00,12.35,83,Greenlots,150,"Type 2, Tesla",2023,No,3.7,6,Monthly,Dubai,high
EVS00299,AC Level 1,0.33,9:00-18:00,19.97,18,EVgo,350,"CCS, CHAdeMO",2022,Yes,4.1,9,Quarterly,São Paulo,low
EVS00433,DC Fast Charger,0.18,9:00-18:00,4.51,38,Greenlots,150,Type 2,2016,Yes,4.6,9,Monthly,Los Angeles,low
EVS00552,AC Level 2,0.27,6:00-22:00,12.45,97,ChargePoint,50,Type 2,2023,Yes,4.4,4,Quarterly,San Francisco,high
EVS00567,AC Level 2,0.34,9:00-18:00,6.66,25,ChargePoint,350,"Tesla, CCS",2020,No,3.8,6,Annually,Moscow,low
EVS00640,AC Level 1,0.12,9:00-18:00,19.38,76,EVgo,150,Type 2,2022,No,3.2,8,Quarterly,Chicago,high
EVS00747,AC Level 2,0.26,24/7,11.18,19,Ionity,22,Tesla,2020,Yes,3.1,4,Annually,Toronto,low
EVS00845,AC Level 1,0.35,9:00-18:00,17.31,20,Greenlots,350,Tesla,2022,No,3.7,7,Quarterly,Moscow,low
EVS00916,AC Level 1,0.46,9:00-18:00,19.17,50,ChargePoint,150,CCS,2021,No,4.1,4,Annually,Berlin,high
EVS01363,AC Level 1,0.48,9:00-18:00,14.05,65,Tesla,350,"CCS, Tesla",2022,Yes,3.4,3,Quarterly,Bangkok,high
EVS01545,AC Level 1,0.39,24/7,19.38,62,Ionity,22,"Tesla, Type 2",2022,No,4.9,9,Quarterly,São Paulo,high
EVS02067,AC Level 2,0.15,24/7,2.18,60,Greenlots,22,CCS,2012,No,3.6,8,Annually,Bangkok,high
EVS02360,AC Level 2,0.42,9:00-18:00,1.96,13,Ionity,350,Type 2,2016,No,3.9,8,Annually,Sydney,low
EVS02432,DC Fast Charger,0.27,6:00-22:00,3.11,23,Tesla,350,"Type 2, CHAdeMO",2018,No,5.0,5,Monthly,São Paulo,low
EVS02554,DC Fast Charger,0.46,6:00-22:00,8.26,44,ChargePoint,22,CCS,2018,No,4.1,3,Monthly,Mumbai,low
EVS02812,AC Level 1,0.24,24/7,11.58,58,Ionity,22,"CCS, Tesla",2023,Yes,4.0,6,Monthly,Dubai,high
EVS02886,AC Level 1,0.37,24/7,8.78,56,ChargePoint,350,"Type 2, Tesla",2019,No,3.9,5,Annually,Toronto,high
EVS02958,AC Level 1,0.15,24/7,1.5,44,Greenlots,22,CCS,2011,Yes,3.2,10,Quarterly,Beijing,low
EVS03056,AC Level 2,0.33,9:00-18:00,9.91,47,Greenlots,50,CCS,2020,Yes,3.6,10,Annually,Los Angeles,low
EVS03098,AC Level 2,0.45,9:00-18:00,7.81,61,Tesla,350,"CHAdeMO, Type 2",2017,No,3.2,9,Monthly,Mumbai,high
EVS03574,AC Level 2,0.33,6:00-22:00,12.43,78,Ionity,50,"Tesla, CCS",2014,No,3.3,9,Annually,Mumbai,high
EVS03588,AC Level 1,0.25,9:00-18:00,17.38,91,ChargePoint,22,Tesla,2018,Yes,4.9,6,Annually,Cape Town,high
EVS03600,AC Level 1,0.36,9:00-18:00,1.13,40,ChargePoint,50,Type 2,2015,No,4.8,7,Quarterly,Berlin,low
EVS03655,DC Fast Charger,0.39,6:00-22:00,19.69,91,Greenlots,150,Type 2,2013,No,4.3,5,Monthly,Toronto,high
EVS03657,AC Level 2,0.36,6:00-22:00,12.88,56,Greenlots,350,CHAdeMO,2018,Yes,4.8,6,Quarterly,Toronto,high
EVS03773,AC Level 1,0.19,24/7,2.36,18,Ionity,150,"CHAdeMO, Type 2",2019,Yes,3.1,10,Annually,Mumbai,low
EVS04143,DC Fast Charger,0.49,6:00-22:00,14.34,68,Ionity,150,Tesla,2016,No,3.7,6,Monthly,Berlin,high
EVS04460,AC Level 1,0.45,6:00-22:00,19.83,63,EVgo,150,CCS,2017,No,3.3,9,Quarterly,Beijing,high
EVS04920,AC Level 1,0.19,9:00-18:00,16.44,92,EVgo,150,"CCS, Type 2",2013,No,3.7,2,Quarterly,Sydney,high
EVS01505,AC Level 2,0.2,9:00-18:00,10.74,25,EVgo,22,CCS,2010,No,3.0,7,Quarterly,Chicago,low
EVS02235,AC Level 1,0.34,9:00-18:00,8.63,61,EVgo,150,"CCS, CHAdeMO",2022,Yes,4.0,2,Annually,Toronto,high
EVS02568,AC Level 1,0.46,6:00-22:00,12.14,10,EVgo,22,"Type 2, CCS",2019,Yes,4.9,10,Monthly,Toronto,low
EVS02586,DC Fast Charger,0.33,24/7,1.94,80,Ionity,150,"CHAdeMO, Type 2",2017,No,4.4,7,Annually,Cape Town,high
EVS02658,DC Fast Charger,0.42,24/7,10.99,33,Greenlots,150,"Tesla, Type 2",2012,Yes,3.5,1,Monthly,Seoul,low
EVS02726,AC Level 1,0.22,9:00-18:00,18.68,32,Tesla,350,CHAdeMO,2016,No,4.8,4,Quarterly,Sydney,low
EVS02865,AC Level 2,0.41,6:00-22:00,4.04,81,EVgo,150,"Tesla, CCS",2019,Yes,3.3,3,Annually,Toronto,high
EVS03080,AC Level 2,0.29,9:00-18:00,9.22,75,Greenlots,350,"CHAdeMO, Type 2",2013,Yes,3.5,4,Annually,São Paulo,high
EVS03136,AC Level 1,0.16,6:00-22:00,19.04,15,Tesla,150,"Type 2, CHAdeMO",2023,No,3.2,9,Monthly,Los Angeles,low
EVS03362,DC Fast Charger,0.29,24/7,10.59,87,Greenlots,350,Tesla,2022,No,3.8,7,Monthly,Beijing,high
EVS03849,AC Level 1,0.19,9:00-18:00,17.63,40,Tesla,350,CHAdeMO,2022,Yes,4.7,2,Quarterly,Bangkok,low
EVS04499,DC Fast Charger,0.33,24/7,13.23,62,Greenlots,22,"Type 2, Tesla",2020,No,3.7,4,Quarterly,Mexico City,high
EVS00263,DC Fast Charger,0.42,9:00-18:00,4.88,30,Greenlots,50,"CCS, CHAdeMO",2022,Yes,3.5,3,Monthly,Seoul,low
EVS00694,AC Level 2,0.42,6:00-22:00,5.47,49,Ionity,150,CHAdeMO,2020,No,3.2,3,Monthly,Moscow,low
EVS01266,AC Level 2,0.45,9:00-18:00,11.42,57,Greenlots,50,CCS,2020,Yes,4.4,6,Monthly,Bangkok,high
EVS01518,AC Level 2,0.33,24/7,7.88,68,EVgo,350,Tesla,2015,Yes,4.1,10,Monthly,Berlin,high
EVS02043,AC Level 2,0.15,6:00-22:00,1.72,95,Greenlots,50,"Tesla, CHAdeMO",2013,No,4.7,4,Annually,Seoul,high
EVS02454,DC Fast Charger,0.12,9:00-18:00,18.97,77,EVgo,50,"Type 2, CCS",2010,Yes,4.6,7,Quarterly,Dubai,high
EVS02526,DC Fast Charger,0.33,6:00-22:00,9.73,39,Greenlots,50,CHAdeMO,2022,Yes,3.1,9,Annually,Chicago,low
EVS02948,AC Level 1,0.37,24/7,4.71,62,Greenlots,50,Tesla,2017,No,4.9,4,Quarterly,Toronto,high
EVS03215,AC Level 2,0.18,24/7,3.42,15,Greenlots,150,CHAdeMO,2023,Yes,3.7,7,Monthly,Bangkok,low
EVS03438,DC Fast Charger,0.21,6:00-22:00,6.68,80,Ionity,50,CHAdeMO,2011,Yes,3.1,6,Quarterly,Mexico City,high
EVS04089,AC Level 2,0.29,6:00-22:00,4.36,50,Tesla,150,"CHAdeMO, CCS",2011,No,3.3,9,Monthly,Beijing,high
EVS04090,AC Level 2,0.24,6:00-22:00,7.16,63,Tesla,22,"Tesla, CCS",2011,No,3.0,6,Monthly,Los Angeles,high
EVS04273,AC Level 2,0.31,24/7,4.36,47,Greenlots,22,"CCS, Type 2",2013,No,4.2,1,Quarterly,Beijing,low
EVS04474,DC Fast Charger,0.2,6:00-22:00,7.29,77,EVgo,22,CCS,2018,No,5.0,6,Annually,Mumbai,high
EVS00167,DC Fast Charger,0.33,24/7,4.01,53,EVgo,150,CHAdeMO,2014,Yes,4.7,5,Quarterly,Seoul,high
EVS00194,AC Level 1,0.26,9:00-18:00,9.22,70,Tesla,350,CHAdeMO,2012,Yes,3.8,7,Quarterly,Berlin,high
EVS00962,AC Level 1,0.15,9:00-18:00,14.87,89,Ionity,22,CHAdeMO,2015,No,3.4,4,Quarterly,San Francisco,high
EVS01299,DC Fast Charger,0.17,24/7,4.1,26,EVgo,50,"CHAdeMO, Tesla",2012,Yes,3.9,7,Quarterly,Mumbai,low
EVS01312,AC Level 1,0.25,6:00-22:00,6.5,34,Ionity,150,"Tesla, Type 2",2020,Yes,4.6,5,Quarterly,Beijing,low
EVS01500,AC Level 2,0.33,9:00-18:00,18.56,32,Tesla,350,Tesla,2013,Yes,3.0,10,Monthly,Bangkok,low
EVS01992,AC Level 1,0.47,24/7,19.91,74,Greenlots,150,CHAdeMO,2011,No,4.8,9,Monthly,Berlin,high
EVS02445,DC Fast Charger,0.38,24/7,11.75,19,Greenlots,150,Type 2,2019,No,3.8,4,Quarterly,Mexico City,low
EVS02486,AC Level 2,0.11,6:00-22:00,9.98,85,EVgo,22,Tesla,2016,No,3.8,2,Annually,Moscow,high
EVS02535,DC Fast Charger,0.21,24/7,14.17,74,Greenlots,350,"Tesla, Type 2",2020,No,3.0,6,Quarterly,Seoul,high
EVS02537,DC Fast Charger,0.2,6:00-22:00,15.69,17,Greenlots,22,CCS,2020,Yes,3.4,2,Monthly,Mumbai,low
EVS02669,AC Level 1,0.23,9:00-18:00,9.67,66,Ionity,150,"CCS, Tesla",2023,Yes,4.1,8,Annually,Sydney,high
EVS02916,AC Level 1,0.39,6:00-22:00,3.37,83,ChargePoint,150,Tesla,2022,Yes,4.4,8,Monthly,Dubai,high
